product,section,content
V1. Soft Bead Cleanser,harga,Rp499.000
V2. Natural Balance Essence,harga,Rp559.000
V3. Intense PAF Concentrate,harga,Rp1.189.000
V4. Active Day Cream,harga,Rp899.000
V5. Regenerative Night Cream,harga,Rp1.019.000
W1. Rich Bubble Cleanser,harga,Rp509.000
W2. Even Tone Essence,harga,Rp549.000
W3. Enriched Brightening Serum,harga,Rp999.000
W4. Illuminating Day Cream,harga,Rp799.000
W5. Refining Night Cream,harga,Rp909.000
Smart Skin Cream SPF 50+/PA+++,harga,15g / Rp299.000
Smart Skin Cream SPF 50+/PA+++,harga,30g / Rp389.000
3C Spot Treatment,harga,Rp269.000
Flawless Finish Perfecting Loose Powder,harga,Rp439.000
ELVi PRO,harga,Rp4.299.000
Muti-Glow Skin loving Liquid Blush,harga,Rp289.000
Pro-Revival Hydrating Eye Serum,harga,Rp999.000
