product,section,content
V1. Soft Bead Cleanser,jenis,Cleanser
V2. Natural Balance Essence,jenis,Essence
V3. Intense PAF Concentrate,jenis,Serum
V4. Active Day Cream,jenis,Day Cream
V5. Regenerative Night Cream,jenis,Night Cream
W1. Rich Bubble Cleanser,jenis,Cleanser
W2. Even Tone Essence,jenis,Essence
W3. Enriched Brightening Serum,jenis,Serum
W4. Illuminating Day Cream,jenis,Day Cream
W5. Refining Night Cream,jenis,Night Cream
Smart Skin Cream SPF 50+/PA+++,jenis,Tinted Sunscreen
3C Spot Treatment,jenis,Anti Acne
Flawless Finish Perfecting Loose Powder,jenis,Loose Powder
Muti-Glow Skin loving Liquid Blush,jenis,Liquid Blush
Pro-Revival Hydrating Eye Serum,jenis,Eye Serum
