product,section,content
V1. Soft Bead Cleanser,kemasan,100ml
V2. Natural Balance Essence,kemasan,140ml
V3. Intense PAF Concentrate,kemasan,30ml
V4. Active Day Cream,kemasan,40ml
V5. Regenerative Night Cream,kemasan,50g
W1. Rich Bubble Cleanser,kemasan,150ml
W2. Even Tone Essence,kemasan,140ml
W3. Enriched Brightening Serum,kemasan,30ml
W4. Illuminating Day Cream,kemasan,40ml
W5. Refining Night Cream,kemasan,50g
Smart Skin Cream SPF 50+/PA+++,kemasan,15g / 30g
3C Spot Treatment,kemasan,15g
Flawless Finish Perfecting Loose Powder,kemasan,30g 
Muti-Glow Skin loving Liquid Blush,kemasan,3.3g
Pro-Revival Hydrating Eye Serum,kemasan,15ml
