product,section,content
HDI Origins™ Bee Propolis Tablet,product_url,https://www.hdi.com/product/bee-propolis-60t
HDI Naturals™ Clover Honey (500gr),product_url,https://www.hdi.com/product/clover-honey-0.5kg
HDI Naturals™ Clover Honey (1kg),product_url,https://www.hdi.com/product/clover-honey-1kg
HDI Kids™ HoneyBee PollenS,product_url,https://www.hdi.com/product/honeybee-pollens-chewable-tablet-60t
HDI Origins™ Pollenergy 520,product_url,https://www.hdi.com/product/pollenergy-520-90t
HDI Propoelix™,product_url,https://www.hdi.com/product/propoelix-200mg-60-vegekaps
HDI Propoelix™ Plus,product_url,https://www.hdi.com/product/propoelix-plus-60-vegekaps
HDI Origins™ Royal Jelly,product_url,https://www.hdi.com/product/royal-jelly-150mg-60t
HDI Origins™ Royale Jelly,product_url,https://www.hdi.com/product/royale-jelly-liquid-150gr
HDI Naturals™ Clover Honey (250gr),product_url,https://www.hdi.com/product/clover-honey-250g
HDI Bone and Joint Health,product_url,https://www.hdi.com/product/hdi-bone-and-joint-health
HDI Lozenges Honey Elderflower,product_url,https://www.hdi.com/product/hdi-lozenges-honey-elderflower 
HDI Lozenges Honey Lemon,product_url,https://www.hdi.com/product/hdi-lozenges-honey-lemon
HDI KIDS Gummy Bees,product_url,https://www.hdi.com/product/G01006-hdi-kids-gummy-bees
HDI KIDS Hunny Bees,product_url,https://www.hdi.com/product/H01027-hdi-kids-hunny-bees
HDI Herbal Remedy,product_url,https://www.hdi.com/product/H01026-hdi-herbal-remedy
HDI KIDS Q Bees,product_url,https://www.hdi.com/product/HDI-KIDS-Q-BEES
HDI UltraX,product_url,https://www.hdi.com/product/hdi-ultra-x
HDI TrimeeX,product_url,https://www.hdi.com/product/hdi-trimee-x
HDI Origins™ Bee Propolis Tablet,image_url,https://www.hdi.com/img/product/webp/hdi-origins-bee-propolis.jpg.webp
HDI Naturals™ Clover Honey (500gr),image_url,https://www.hdi.com/img/product/webp/hdi-naturals-clover-honey-500gr.jpg.webp
HDI Naturals™ Clover Honey (1kg),image_url,https://www.hdi.com/img/product/webp/hdi-naturals-clover-honey-1kg.jpg.webp
HDI Kids™ HoneyBee PollenS,image_url,https://www.hdi.com/img/product/webp/hdi-kids-honeybee-pollens.jpg.webp
HDI Origins™ Pollenergy 520,image_url,https://www.hdi.com/img/product/webp/hdi-origins-pollenergy-520.jpg.webp
HDI Propoelix™,image_url,https://www.hdi.com/img/product/webp/hdi-propoelix-60.jpg.webp
HDI Propoelix™ Plus,image_url,https://www.hdi.com/img/product/webp/hdi-propoelix-plus-60.jpg.webp
HDI Origins™ Royal Jelly,image_url,https://www.hdi.com/img/product/webp/hdi-origins-royal-jelly.jpg.webp
HDI Origins™ Royale Jelly,image_url,https://www.hdi.com/img/product/webp/hdi-origins-royale-jelly-liquid.jpg.webp
HDI Naturals™ Clover Honey (250gr),image_url,https://www.hdi.com/img/product/webp/hdi-naturals-clover-honey-250gr.jpg.webp
HDI Bone and Joint Health,image_url,https://www.hdi.com/img/product/webp/B01105b.jpg.webp
HDI Lozenges Honey Elderflower,image_url,https://www.hdi.com/img/product/webp/L01009.jpg.webp
HDI Lozenges Honey Lemon,image_url,https://www.hdi.com/img/product/webp/L01010.jpg.webp
HDI KIDS Gummy Bees,image_url,https://www.hdi.com/img/product/webp/G01006.jpg.webp
HDI KIDS Hunny Bees,image_url,https://www.hdi.com/img/product/webp/H01027-b.jpg.webp
HDI Herbal Remedy,image_url,https://www.hdi.com/img/product/webp/H01026.jpg.webp
HDI KIDS Q Bees,image_url,https://www.hdi.com/img/product/webp/K01003.jpg.webp
HDI UltraX,image_url,https://www.hdi.com/img/product/webp/U01005-1.jpg.webp
HDI TrimeeX,image_url,https://www.hdi.com/img/product/webp/T01030c.jpg.webp
